InstanceId,InstanceName,AvailabilityZone,VolumeId,Encrypted,SecurityGroups
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.212.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.240.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.242.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.244.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.16.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.18.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.20.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.64.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.66.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.68.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.80.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.82.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.163.84.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.254.0.0/23,pcx-00ebefe90012dec2c
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.10.96.0/20,tgw-080538cc95ca94e74
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.10.112.0/20,tgw-080538cc95ca94e74
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.16.0/20,local
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,N/A,vpce-078c5864eaba38d83
subnet-0216e5b970539e645,pla-core DEV Tenant VPC DMZ Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-014eda28c97c958c0,10.254.0.0/23,pcx-00ebefe90012dec2c
subnet-0216e5b970539e645,pla-core DEV Tenant VPC DMZ Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-014eda28c97c958c0,10.10.96.0/20,tgw-080538cc95ca94e74
subnet-0216e5b970539e645,pla-core DEV Tenant VPC DMZ Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-014eda28c97c958c0,10.10.112.0/20,tgw-080538cc95ca94e74
subnet-0216e5b970539e645,pla-core DEV Tenant VPC DMZ Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-014eda28c97c958c0,10.162.16.0/20,local
subnet-0216e5b970539e645,pla-core DEV Tenant VPC DMZ Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-014eda28c97c958c0,N/A,vpce-078c5864eaba38d83
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.64.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.66.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.68.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.80.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.82.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.84.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.192.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.194.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.196.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.240.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.242.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.161.244.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.162.0.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.162.2.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.162.4.0/23,tgw-0a361e67607936eac
subnet-0dae062debe84ff4b,pla-core DEV Tenant VPC Private Subnet C,vpc-00cb6ffafa96d62b6,us-gov-west-1c,rtb-07faac9102d076426,10.162.160.0/23,tgw-0a361e67607936eac
